FPR SUN,FPR Places,FPR DTD,FPR iNaturalist,AUC SUN,AUC Places,AUC DTD,AUC iNaturalist,Combination,Average FPR,Average AUC
0.3741,0.4367,0.573404255319149,0.3067,0.925651392,0.899567608,0.8617567606382979,0.946312176,[11],0.4227260638297872,0.9083219841595744
0.39,0.4511,0.5842198581560284,0.3147,0.922660809,0.8963926959999999,0.8584169574468085,0.945481143,"[0, 11]",0.4350049645390071,0.9057379013617021
0.388,0.4482,0.5726950354609929,0.3079,0.922718145,0.896958111,0.8619696968085107,0.945935298,"[1, 11]",0.4291987588652483,0.9068953127021278
0.3631,0.4144,0.5445035460992907,0.2592,0.927452939,0.9045089670000002,0.8701156578014185,0.952983547,"[2, 11]",0.39530088652482265,0.9137652777003547
0.3954,0.414,0.50177304964539,0.2843,0.921499748,0.906835739,0.8864362180851063,0.949869846,"[3, 11]",0.3988682624113475,0.9161603877712765
0.3606,0.3746,0.4560283687943262,0.2305,0.926648095,0.915799529,0.8984679361702128,0.957689114,"[4, 11]",0.3554320921985815,0.9246511685425531
0.411,0.4703,0.4819148936170213,0.2789,0.916783902,0.892666033,0.8903017588652482,0.95041772,"[5, 11]",0.4105287234042553,0.912542353466312
0.3343,0.3739,0.4285460992907801,0.2329,0.932162512,0.91639741,0.9040546312056738,0.958256424,"[6, 11]",0.342411524822695,0.9277177443014184
0.3532,0.3561,0.427304964539007,0.2244,0.928461084,0.920447715,0.9035480815602835,0.958944407,"[7, 11]",0.34025124113475175,0.927850321890071
0.3602,0.368,0.3932624113475177,0.1553,0.925440513,0.916885674,0.9113102216312056,0.969340517,"[8, 11]",0.3191906028368794,0.9307442314078014
0.3981,0.4175,0.4452127659574468,0.2363,0.91729094,0.9058164089999998,0.8943530336879433,0.956236865,"[9, 11]",0.3742781914893617,0.9184243119219858
0.4162,0.4545,0.4581560283687943,0.2509,0.908383832,0.887990714,0.8878185886524823,0.954829935,"[10, 11]",0.39493900709219865,0.9097557674131207
0.403,0.4622,0.5843971631205673,0.3136,0.919631823,0.893716082,0.8585832375886525,0.945054058,"[0, 1, 11]",0.4407992907801418,0.9042463001471632
0.3792,0.4279,0.5583333333333333,0.2657,0.924389953,0.90130279,0.8667577641843973,0.95215025,"[0, 2, 11]",0.40778333333333333,0.9111501892960994
0.4111,0.4287,0.5111702127659574,0.2897,0.918392692,0.903772823,0.883357379432624,0.948992243,"[0, 3, 11]",0.4101675531914894,0.9136287843581561
0.3752,0.3861,0.4661347517730496,0.2361,0.923787088,0.912988069,0.8957237783687944,0.956971946,"[0, 4, 11]",0.36588368794326237,0.9223677203421986
0.426,0.4838,0.4918439716312057,0.2841,0.913679906,0.889364311,0.8874610230496455,0.949654514,"[0, 5, 11]",0.4214359929078014,0.9100399385124114
0.3485,0.386,0.4368794326241135,0.2359,0.929618418,0.913779074,0.9017043173758866,0.957730857,"[0, 6, 11]",0.35181985815602834,0.9257081665939717
0.3644,0.3689,0.4345744680851063,0.2289,0.925778092,0.917843935,0.901170645390071,0.958345362,"[0, 7, 11]",0.3491936170212766,0.9257845085975178
0.3746,0.3802,0.4021276595744681,0.1586,0.922755344,0.914237202,0.9091305921985816,0.968940606,"[0, 8, 11]",0.328881914893617,0.9287659360496454
0.413,0.433,0.4558510638297872,0.2397,0.914129042,0.902734474,0.8918054911347517,0.955652286,"[0, 9, 11]",0.3853877659574468,0.9160803232836879
0.43,0.4659,0.4654255319148936,0.255,0.905360167,0.8849734810000001,0.885214195035461,0.954230192,"[0, 10, 11]",0.4040813829787234,0.9074445087588652
